firstname,token,informacio_general_act,organs_de_govern_act,organismes_depenents_act,organismes_amb_representacio_act,canals_participacio_act,estructura_administrativa_act,serveis_publics_act,informacio_economica_act,contractacio_act,planificacio_act,grups_interes_act
Montseny,08137AA000,2 Nivell alt,1 Nivell baix,1 Nivell mig,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,0 No actualitzat
Mura,08139AA000,2 Nivell alt,1 Nivell baix,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Nou de Berguedà (La),08142AA000,1 Nivell mig,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Orís,08150AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Orpí,08152AA000,2 Nivell alt,1 Nivell baix,,0 No actualitzat,0 No actualitzat,1 Nivell baix,0 No actualitzat,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Perafita,08160AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Pujalt,08176AA000,0 No actualitzat,0 No actualitzat,,0 No actualitzat,0 No actualitzat,0 No actualitzat,0 No actualitzat,0 No actualitzat,0 No actualitzat,0 No actualitzat,0 No actualitzat
Quar (La),08177AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,1 Nivell baix,0 No actualitzat,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Rubió,08185AA000,1 Nivell mig,1 Nivell baix,,1 Actualitzat,0 No actualitzat,1 Nivell baix,0 No actualitzat,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Sagàs,08188AA000,2 Nivell alt,1 Nivell baix,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Sant Pere Sallavinera,08189AA000,1 Nivell mig,0 No actualitzat,,1 Actualitzat,0 No actualitzat,1 Nivell baix,0 No actualitzat,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Saldes,08190AA000,2 Nivell alt,1 Nivell baix,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Agustí de Lluçanès,08195AA000,2 Nivell alt,1 Nivell baix,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Sant Jaume de Frontanyà,08216AA000,2 Nivell alt,1 Nivell baix,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Martí d'Albars,08225AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,3 Nivell alt,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Martí Sesgueioles,08228AA000,2 Nivell alt,0 No actualitzat,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Sadurní d'Osormort,08241AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,0 No actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,0 No actualitzat,0 No actualitzat
Marganell,08242AA000,1 Nivell mig,2 Nivell mig,,0 No actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Santa Cecília de Voltregà,08243AA000,2 Nivell alt,1 Nivell baix,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,0 No actualitzat
Santa Fe del Penedès,08249AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Santa Maria de Besora,08253AA000,1 Nivell mig,1 Nivell baix,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Santa Maria de Merlès,08255AA000,2 Nivell alt,1 Nivell baix,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Santa Maria de Miralles,08257AA000,1 Nivell mig,1 Nivell baix,,1 Actualitzat,0 No actualitzat,1 Nivell baix,0 No actualitzat,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Sobremunt,08271AA000,2 Nivell alt,1 Nivell baix,,0 No actualitzat,0 No actualitzat,1 Nivell baix,0 No actualitzat,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sora,08272AA000,2 Nivell alt,1 Nivell baix,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Tavèrnoles,08275AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Tagamanent,08276AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Talamanca,08277AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Tavertet,08280AA000,2 Nivell alt,1 Nivell baix,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Vallcebre,08293AA000,1 Nivell mig,1 Nivell baix,,1 Actualitzat,0 No actualitzat,1 Nivell baix,0 No actualitzat,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Veciana,08297AA000,1 Nivell mig,0 No actualitzat,,1 Actualitzat,0 No actualitzat,1 Nivell baix,0 No actualitzat,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Vilada,08299AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,3 Nivell alt,0 No actualitzat
Vilanova de Sau,08303AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Viver i Serrateix,08308AA000,1 Nivell mig,0 No actualitzat,,0 No actualitzat,0 No actualitzat,1 Nivell baix,0 No actualitzat,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Rupit i Pruit,08901AA000,1 Nivell mig,0 No actualitzat,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Sant Julià de Cerdanyola,08903AA000,0 No actualitzat,1 Nivell baix,,1 Actualitzat,0 No actualitzat,2 Nivell mig,0 No actualitzat,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Badalona,08015AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,3 Nivell alt,1 Nivell baix,1 Actualitzat,2 Nivell mig,1 Actualitzat
Barcelona,08019AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,3 Nivell alt,3 Nivell alt,1 Actualitzat,2 Nivell mig,1 Actualitzat
Castelldefels,08056AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,3 Nivell alt,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Cornellà de Llobregat,08073AA000,2 Nivell alt,2 Nivell mig,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Granollers,08096AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,3 Nivell alt,1 Actualitzat,2 Nivell mig,0 No actualitzat
Hospitalet de Llobregat (L'),08101AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Manresa,08113AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,3 Nivell alt,3 Nivell alt,1 Actualitzat,2 Nivell mig,0 No actualitzat
Mataró,08121AA000,2 Nivell alt,2 Nivell mig,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,2 Nivell mig,1 Actualitzat,1 Nivell baix,0 No actualitzat
Mollet del Vallès,08124AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,3 Nivell alt,3 Nivell alt,1 Actualitzat,2 Nivell mig,0 No actualitzat
Prat de Llobregat (El),08169AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,3 Nivell alt,1 Actualitzat,3 Nivell alt,0 No actualitzat
Rubí,08184AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,0 No actualitzat,3 Nivell alt,2 Nivell mig,1 Nivell baix,1 Actualitzat,2 Nivell mig,1 Actualitzat
Sabadell,08187AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,3 Nivell alt,3 Nivell alt,1 Actualitzat,2 Nivell mig,1 Actualitzat
Sant Boi de Llobregat,08200AA000,2 Nivell alt,3 Nivell alt,0 No actualitzat,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,2 Nivell mig,1 Actualitzat,3 Nivell alt,1 Actualitzat
Sant Cugat del Vallès,08205AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Santa Coloma de Gramenet,08245AA000,2 Nivell alt,2 Nivell mig,2 Nivell alt,1 Actualitzat,0 No actualitzat,3 Nivell alt,3 Nivell alt,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Cerdanyola del Vallès,08266AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Terrassa,08279AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,3 Nivell alt,1 Nivell baix,1 Actualitzat,2 Nivell mig,1 Actualitzat
Viladecans,08301AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,1 Actualitzat,1 Actualitzat,3 Nivell alt,3 Nivell alt,2 Nivell mig,1 Actualitzat,2 Nivell mig,1 Actualitzat
Vilanova i la Geltrú,08307AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,1 Actualitzat
